SMILES,Temp,K,lnK,lnA,splits,temp_input,lnA_input,K_target,Train_order,,Temp_max,1073.1
OCCOCCOCCOC,507,0.11098871,-2.198326795,-2.745492625,22,2.11656804733728,-2.19455822095748,-0.362496720855031,117,,,
CCOCCOCCOCCO,254.45,0.179171275,-1.719413087,-2.867929327,test,4.21733149931224,-2.60450993145395,1.24103792658102,970,,,
CCOCCOCCOCCO,323.125,0.160594688,-1.828871557,-2.867929327,test,3.32100580270793,-2.60450993145395,0.874540901817765,17,,,
CCOCCOCCOCCO,391.8,0.1420181,-1.951800765,-2.867929327,test,2.73889739663093,-2.60450993145395,0.462940145946577,687,,,
CCOCCOCCOCCO,460.475,0.123441513,-2.091987818,-2.867929327,test,2.33041967533525,-2.60450993145395,-0.00644461555090585,1018,,,
CCOCCOCCOCCO,529.15,0.104864925,-2.255082186,-2.867929327,test,2.02796938486252,-2.60450993145395,-0.552529360090492,1162,,,
CCCCOCCOCCOCCO,225.75,0.17789446,-1.726564826,-2.846315554,24,4.75348837209302,-2.53214108235155,1.21709193989417,1188,,,
CCCCOCCOCCOCCO,307.1,0.157986488,-1.845245769,-2.846315554,24,3.49430153044611,-2.53214108235155,0.819715542201074,104,,,
CCCCOCCOCCOCCO,388.45,0.138078516,-1.979932799,-2.846315554,24,2.7625176985455,-2.53214108235155,0.36874636851173,1212,,,
CCCCOCCOCCOCCO,469.8,0.118170544,-2.13562641,-2.846315554,24,2.28416347381865,-2.53214108235155,-0.152558608674121,840,,,
CCCCOCCOCCOCCO,551.15,0.098262572,-2.320112077,-2.846315554,24,1.94701986754967,-2.53214108235155,-0.770267298252601,282,,,
c1(CC)cc(CC)cc(CC)c1,206.74,0.134078485,-2.009329942,-2.9260821,25,5.190577537003,-2.79922138947298,0.270316658631444,1098,,,
c1(CC)cc(CC)cc(CC)c1,277.3175,0.121392179,-2.108728823,-2.9260821,25,3.86957188060616,-2.79922138947298,-0.0624980988861535,695,,,
c1(CC)cc(CC)cc(CC)c1,347.895,0.108705874,-2.21910945,-2.9260821,25,3.08455137325917,-2.79922138947298,-0.432082758593192,906,,,
c1(CC)cc(CC)cc(CC)c1,418.4725,0.096019568,-2.343203274,-2.9260821,25,2.56432621020497,-2.79922138947298,-0.847582968741346,202,,,
c1(CC)cc(CC)cc(CC)c1,489.05,0.083333263,-2.4849075,-2.9260821,25,2.19425416624067,-2.79922138947298,-1.32204764219586,360,,,
c1(CC)c(CC)cc(CC)cc1,195.15,0.137956684,-1.980815531,-2.876349098,26,5.49884704073789,-2.63270163759316,0.365790739297624,809,,,
c1(CC)c(CC)cc(CC)cc1,269.15,0.124702544,-2.08182403,-2.876349098,26,3.98699609882965,-2.63270163759316,0.0275865385692332,171,,,
c1(CC)c(CC)cc(CC)cc1,343.15,0.111448404,-2.194193544,-2.876349098,26,3.12720384671427,-2.63270163759316,-0.348657461142195,482,,,
c1(CC)c(CC)cc(CC)cc1,417.15,0.098194264,-2.320807482,-2.876349098,26,2.57245595109673,-2.63270163759316,-0.772595705213757,334,,,
c1(CC)c(CC)cc(CC)cc1,491.15,0.084940124,-2.4658087,-2.876349098,26,2.18487223862364,-2.63270163759316,-1.25809961353669,278,,,
c1(CC)c(CC)c(CC)ccc1,215,0.1372325,-1.986078711,-2.902974448,27,4.99116279069767,-2.72185062312421,0.348168166912011,941,,,
c1(CC)c(CC)c(CC)ccc1,283.925,0.124515838,-2.083322362,-2.902974448,27,3.77951923923571,-2.72185062312421,0.0225697114556472,968,,,
c1(CC)c(CC)c(CC)ccc1,352.85,0.111799175,-2.191051098,-2.902974448,27,3.04123565254357,-2.72185062312421,-0.338135688734092,870,,,
