,T1,T2,T3,T4,T5
438,196.44,259.1175,321.79499999999996,384.47249999999997,447.15
439,268.15,358.11249999999995,448.075,538.0375,628.0
440,198.8,261.75,324.70000000000005,387.65000000000003,450.6
441,233.0,289.0,345.0,401.0,457.0
442,206.05,246.5125,286.975,327.4375,367.9
443,243.85,295.3075,346.765,398.22249999999997,449.68
444,161.79,221.23749999999998,280.685,340.1325,399.58
445,177.95,209.85,241.75,273.65,305.55
446,268.15,371.9,475.65,579.4,683.15
447,183.15,228.025,272.9,317.775,362.65
448,187.65,240.76250000000002,293.875,346.9875,400.1
449,155.97,213.6525,271.335,329.0175,386.7
450,190.0,254.5,319.0,383.5,448.0
451,199.75,255.1625,310.575,365.98749999999995,421.4
452,194.65,263.4125,332.175,400.9375,469.7
453,213.15,300.3625,387.575,474.7875,562.0
454,201.7,245.46499999999997,289.23,332.995,376.76
455,227.15,291.05,354.95,418.85,482.75
456,250.0,318.5,387.0,455.5,524.0
457,221.7,277.76,333.82,389.88,445.94
458,188.55,226.6325,264.71500000000003,302.7975,340.88
459,180.0,242.4,304.8,367.20000000000005,429.6
460,189.15,256.7825,324.415,392.0475,459.68
461,225.0,291.25,357.5,423.75,490.0
462,177.35,225.8175,274.285,322.75250000000005,371.22
463,212.0,276.0,340.0,404.0,468.0
464,198.2,262.275,326.35,390.425,454.5
465,241.83,296.77250000000004,351.71500000000003,406.6575,461.6
466,271.7,317.7175,363.735,409.7525,455.77
467,221.74,279.08500000000004,336.43,393.775,451.12
468,257.15,292.47499999999997,327.79999999999995,363.125,398.45
469,285.0,361.75,438.5,515.25,592.0
470,243.15,306.9,370.65,434.4,498.15
471,200.0,271.25,342.5,413.75,485.0
472,281.5,365.575,449.65,533.7249999999999,617.8
473,265.9,346.625,427.34999999999997,508.07499999999993,588.8
474,228.15,314.5725,400.995,487.4175,573.84
475,291.15,353.48249999999996,415.815,478.14750000000004,540.48
476,256.15,296.775,337.4,378.025,418.65
477,243.65,289.025,334.4,379.775,425.15
478,290.0,394.91999999999996,499.84,604.76,709.68
479,261.15,320.65,380.15,439.65,499.15
480,213.0,280.75,348.5,416.25,484.0
481,242.4,289.8,337.2,384.6,432.0
482,232.0,285.0,338.0,391.0,444.0
483,288.15,320.15,352.15,384.15,416.15
484,278.15,331.22499999999997,384.29999999999995,437.375,490.45
485,230.15,315.1125,400.075,485.0375,570.0
486,222.0,276.5,331.0,385.5,440.0
487,193.0,260.0,327.0,394.0,461.0
488,198.15,239.4,280.65,321.9,363.15
489,173.15,221.9,270.65,319.4,368.15
490,266.7,343.75,420.79999999999995,497.84999999999997,574.9
491,259.86,269.595,279.33000000000004,289.065,298.8
492,228.2,294.6875,361.17499999999995,427.66249999999997,494.15
493,170.05,216.125,262.20000000000005,308.27500000000003,354.35
494,183.65,227.155,270.66,314.165,357.67
495,141.25,192.0575,242.865,293.6725,344.48
496,247.05,327.71250000000003,408.375,489.0375,569.7
497,255.15,340.15,425.15,510.15,595.15
498,225.64,293.7125,361.78499999999997,429.8575,497.93
499,233.7,317.25,400.79999999999995,484.34999999999997,567.9
500,212.0,283.815,355.63,427.445,499.26
501,252.15,307.5725,362.995,418.4175,473.84
502,220.81,310.145,399.48,488.815,578.15
503,210.53,293.685,376.84,459.995,543.15
504,192.25,267.7875,343.325,418.86249999999995,494.4
505,239.55,312.725,385.9,459.075,532.25
506,228.05,291.4,354.75,418.1,481.45
507,159.73,204.8575,249.985,295.1125,340.24
508,140.17,190.3825,240.59499999999997,290.8075,341.02
509,135.33,186.3975,237.46500000000003,288.5325,339.6
510,132.03,184.53,237.02999999999997,289.53,342.03
511,217.5,279.625,341.75,403.875,466.0
512,217.4,263.225,309.05,354.875,400.7
513,223.0,270.35,317.7,365.04999999999995,412.4
514,269.25,352.725,436.2,519.675,603.15
515,192.62,250.91750000000002,309.21500000000003,367.5125,425.81
516,192.84,253.78,314.72,375.66,436.6
517,206.064,286.5855,367.10699999999997,447.62850000000003,528.15
518,214.93,261.485,308.03999999999996,354.59499999999997,401.15
519,208.5,257.9125,307.325,356.73749999999995,406.15
520,236.15,279.9,323.65,367.4,411.15
521,278.25,309.9425,341.635,373.3275,405.02
522,228.25,259.95,291.65,323.35,355.05
523,177.05,221.95,266.85,311.75,356.65
524,132.47,182.505,232.54000000000002,282.57500000000005,332.61
525,134.45,185.375,236.29999999999998,287.22499999999997,338.15
526,145.0,196.0375,247.075,298.11249999999995,349.15
527,288.15,373.11249999999995,458.075,543.0375,628.0
528,277.51,347.6375,417.765,487.8925,558.02
529,221.87,255.3175,288.765,322.21250000000003,355.66
530,272.15,308.65,345.15,381.65,418.15
531,283.65,340.775,397.9,455.025,512.15
532,245.05,286.325,327.6,368.875,410.15
533,252.15,310.65,369.15,427.65,486.15
534,207.17,241.79,276.40999999999997,311.03,345.65
535,206.3,255.1375,303.975,352.8125,401.65
536,192.22,237.3975,282.575,327.7525,372.93
537,226.75,310.85,394.95,479.04999999999995,563.15
538,222.95,294.6125,366.275,437.9375,509.6
539,136.52,194.595,252.67000000000002,310.745,368.82
540,163.67,215.5275,267.385,319.2425,371.1
541,136.51,194.6075,252.70499999999998,310.8025,368.9
542,149.0,204.64,260.28,315.92,371.56
543,240.65,318.775,396.9,475.025,553.15
544,234.15,313.9,393.65,473.4,553.15
545,237.65,284.15,330.65,377.15,423.65
546,203.15,259.65,316.15,372.65,429.15
547,220.0,273.225,326.45,379.67499999999995,432.9
548,239.15,322.65,406.15,489.65,573.15
549,265.83,323.40999999999997,380.99,438.57,496.15
550,229.92,284.9625,340.005,395.0475,450.09
551,229.8,278.8875,327.975,377.0625,426.15
