smiles,lnA,EaR,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,EaR_unnormed,,,,mean,0.001687455,,,,,,
CCCBr,-2.949911191,0.711838798,-0.467320205,0.003486629,train,-0.593663902,-3.756407341,0.906860414,,,,,,,,,,,
CCCBr,-2.949911191,0.711838798,-0.48645396,0.003470318,train,-0.618039708,-3.756407341,0.906860414,,,,,,,,,,,
CCCBr,-2.949911191,0.711838798,-0.349921796,0.003654436,train,-0.444101992,-3.756407341,0.906860414,,,,,,,,,,,
CCCBr,-2.949911191,0.711838798,-0.612910108,0.003278366,train,-0.779140894,-3.756407341,0.906860414,,,,,,,,,,,
CCCCS,-3.20604067,0.798574066,-0.579089647,0.003298697,train,-0.736054682,-4.082708304,1.017358438,,,,,,,,,,,
CCCCS,-3.20604067,0.798574066,-0.732429108,0.003094538,train,-0.93140437,-4.082708304,1.017358438,,,,,,,,,,,
CCCCS,-3.20604067,0.798574066,-0.492300904,0.003411223,train,-0.625488532,-4.082708304,1.017358438,,,,,,,,,,,
CCCCS,-3.20604067,0.798574066,-0.814246748,0.003001651,train,-1.03563749,-4.082708304,1.017358438,,,,,,,,,,,
CCCCS,-3.20604067,0.798574066,-0.645752088,0.003193358,train,-0.820980552,-4.082708304,1.017358438,,,,,,,,,,,
CCCCO,-5.373495733,1.821486779,2.782683732,0.004481291,train,3.546739687,-6.843978411,2.320517312,,,,,,,,,,,
CCCCO,-5.373495733,1.821486779,0.397021169,0.003163956,train,0.507480034,-6.843978411,2.320517312,,,,,,,,,,,
CCCCO,-5.373495733,1.821486779,0.616502808,0.003298697,train,0.787092793,-6.843978411,2.320517312,,,,,,,,,,,
CCCCO,-5.373495733,1.821486779,0.735366778,0.003353996,train,0.938521781,-6.843978411,2.320517312,,,,,,,,,,,
CCCCO,-5.373495733,1.821486779,0.720737288,0.003353995,train,0.919884267,-6.843978411,2.320517312,,,,,,,,,,,
CC(C)CCl,-3.305108939,0.787727112,-0.543058144,0.003507541,train,-0.690151672,-4.208918187,1.003539757,,,,,,,,,,,
CC(C)CCl,-3.305108939,0.787727112,-0.648253634,0.003371317,train,-0.824167443,-4.208918187,1.003539757,,,,,,,,,,,
CC(C)CCl,-3.305108939,0.787727112,-0.426744997,0.003660992,train,-0.541972353,-4.208918187,1.003539757,,,,,,,,,,,
CC(C)CCl,-3.305108939,0.787727112,-0.896458128,0.003059133,train,-1.140372223,-4.208918187,1.003539757,,,,,,,,,,,
CC(C)CCl,-3.305108939,0.787727112,-0.808738314,0.003168769,train,-1.028619917,-4.208918187,1.003539757,,,,,,,,,,,
CC(F)(F)Cl,-2.621296563,0.506073806,-0.621165559,0.003952569,val,-0.789658081,-3.33776256,0.644722235,,,,,,,,,,,
CC(F)(F)Cl,-2.621296563,0.506073806,-0.710814639,0.003773585,val,-0.903868212,-3.33776256,0.644722235,,,,,,,,,,,
