smiles,lnA,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,temperature_unnormed,,,,,mean,0.001687455
CCCCO,-5.373495733,0.616502808,2.223817187,train,0.787092793,-6.843978411,0.003298697,,,,,,
CCCCO,-5.373495733,0.735366778,2.261097018,train,0.938521781,-6.843978411,0.003353996,,,,,,
CCCCO,-5.373495733,0.720737288,2.261096343,train,0.919884267,-6.843978411,0.003353995,,,,,,
CC(C)CCl,-3.305108939,-0.543058144,2.364609407,train,-0.690151672,-4.208918187,0.003507541,,,,,,
CC(C)CCl,-3.305108939,-0.648253634,2.272773973,train,-0.824167443,-4.208918187,0.003371317,,,,,,
CC(C)CCl,-3.305108939,-0.426744997,2.468058427,train,-0.541972353,-4.208918187,0.003660992,,,,,,
CC(C)CCl,-3.305108939,-0.896458128,2.062315072,train,-1.140372223,-4.208918187,0.003059133,,,,,,
CC(C)CCl,-3.305108939,-0.808738314,2.136226202,train,-1.028619917,-4.208918187,0.003168769,,,,,,
CC(F)(F)Cl,-2.621296563,-0.621165559,2.664625115,val,-0.789658081,-3.33776256,0.003952569,,,,,,
CC(F)(F)Cl,-2.621296563,-0.710814639,2.543963019,val,-0.903868212,-3.33776256,0.003773585,,,,,,
CC(F)(F)Cl,-2.621296563,-0.962239401,2.21032879,val,-1.224175512,-3.33776256,0.003278689,,,,,,
CC(F)(F)Cl,-2.621296563,-0.55488582,2.751633634,val,-0.705219762,-3.33776256,0.004081633,,,,,,
CC(F)(F)Cl,-2.621296563,-0.767049832,2.469414817,val,-0.975510092,-3.33776256,0.003663004,,,,,,
CCCCl,-3.128583722,-1.005035457,2.121102991,train,-1.278696351,-3.984030569,0.003146336,,,,,,
CCCCl,-3.128583722,-0.900643217,2.223817187,train,-1.145703896,-3.984030569,0.003298697,,,,,,
CCCCl,-3.128583722,-0.779854464,2.342425822,train,-0.991822794,-3.984030569,0.003474635,,,,,,
CCCCl,-3.128583722,-0.901137051,2.221032946,train,-1.146333025,-3.984030569,0.003294567,,,,,,
CCCCl,-3.128583722,-0.936501076,2.185039394,train,-1.191385689,-3.984030569,0.003241176,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,0.694654749,2.261110501,train,0.886655927,-4.656538028,0.003354016,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,0.231912883,2.023563571,train,0.297137231,-4.656538028,0.003001651,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,0.613997842,2.223817187,train,0.783901544,-4.656538028,0.003298697,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,0.360210513,2.086183359,train,0.460584407,-4.656538028,0.003094538,,,,,,
[O-][N+](=O)c1ccccc1F,-3.6564675,0.475174141,2.152802881,train,0.607044482,-4.656538028,0.003193358,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,0.207631135,2.054396504,train,0.266203041,-4.512380506,0.003047387,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,0.610405393,2.261110501,train,0.779324877,-4.512380506,0.003354016,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,0.458748406,2.187733972,train,0.586118608,-4.512380506,0.003245173,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,0.327341519,2.118969305,train,0.418710335,-4.512380506,0.003143171,,,,,,
[O-][N+](=O)c1cccc(F)c1,-3.543311257,0.53685103,2.223083711,train,0.685618914,-4.512380506,0.003297609,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,0.633467688,2.223083711,train,0.808705521,-4.958013107,0.003297609,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,0.34773094,2.086183359,train,0.444685821,-4.958013107,0.003094538,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,0.223705728,2.020833937,train,0.286681572,-4.958013107,0.002997602,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,0.477310057,2.152459064,train,0.609765572,-4.958013107,0.003192848,,,,,,
[O-][N+](=O)c1ccc(F)cc1,-3.893109937,0.172574726,1.99364209,train,0.22154227,-4.958013107,0.002957267,,,,,,
CCCCCF,-3.259643097,-0.777529942,2.29967661,train,-0.988861425,-4.150996123,0.003411223,,,,,,
CCCCCF,-3.259643097,-0.859763763,2.223817187,train,-1.093624747,-4.150996123,0.003298697,,,,,,
CCCCCF,-3.259643097,-1.081683864,2.023563571,train,-1.37634403,-4.150996123,0.003001651,,,,,,
CCCCCF,-3.259643097,-0.937276589,2.152802881,train,-1.192373668,-4.150996123,0.003193358,,,,,,
CCCCCF,-3.259643097,-1.007577116,2.086183359,train,-1.281934346,-4.150996123,0.003094538,,,,,,
CCCCCCCO,-6.81697124,1.396828958,2.261095669,val,1.781203955,-8.682921159,0.003353994,,,,,,
CCCCCCCO,-6.81697124,1.227550685,2.223803029,val,1.565548719,-8.682921159,0.003298676,,,,,,
CCCCCCCO,-6.81697124,1.120456727,2.187733972,val,1.429114358,-8.682921159,0.003245173,,,,,,
CCCCCCCO,-6.81697124,1.397489745,2.261110501,val,1.782045777,-8.682921159,0.003354016,,,,,,
CCCCCCCO,-6.81697124,1.261216104,2.223817187,val,1.608437412,-8.682921159,0.003298697,,,,,,
CCCCCC=C,-3.070517751,-0.895721893,2.223817187,train,-1.139434283,-3.910056334,0.003298697,,,,,,
CCCCCC=C,-3.070517751,-1.029083902,2.086183359,train,-1.30933332,-3.910056334,0.003094538,,,,,,
CCCCCC=C,-3.070517751,-0.972992289,2.152802881,train,-1.237874356,-3.910056334,0.003193358,,,,,,
CCCCCC=C,-3.070517751,-1.000537171,2.118969305,train,-1.272965676,-3.910056334,0.003143171,,,,,,
CCCCCC=C,-3.070517751,-1.264650577,1.831183356,train,-1.609437912,-3.910056334,0.002716284,,,,,,
CCCCCCS,-3.23181271,-0.25754976,2.223817187,train,-0.326422901,-4.115541078,0.003298697,,,,,,
CCCCCCS,-3.23181271,-0.154804294,2.29967661,train,-0.195528384,-4.115541078,0.003411223,,,,,,
CCCCCCS,-3.23181271,-0.041835082,2.380894179,train,-0.051609134,-4.115541078,0.003531697,,,,,,
CCCCCCS,-3.23181271,-0.672055542,1.908962759,train,-0.854490331,-4.115541078,0.002831658,,,,,,
CCCCCCS,-3.23181271,-0.521141128,2.023563571,train,-0.662230078,-4.115541078,0.003001651,,,,,,
CCCCCCO,-5.18485863,1.03900655,2.223803029,train,1.325349375,-6.603660629,0.003298676,,,,,,
CCCCCCO,-5.18485863,0.889321176,2.152802881,train,1.13465488,-6.603660629,0.003193358,,,,,,
CCCCCCO,-5.18485863,1.192101918,2.261095669,train,1.520388096,-6.603660629,0.003353994,,,,,,
CCCCCCO,-5.18485863,1.318185081,2.299661105,train,1.681014111,-6.603660629,0.0034112,,,,,,
CCCCCCO,-5.18485863,0.924341902,2.187733972,train,1.179270192,-6.603660629,0.003245173,,,,,,
CCCCC#C,-3.564217001,-1.034919977,2.086183359,train,-1.316768298,-4.539013771,0.003094538,,,,,,
CCCCC#C,-3.564217001,-1.115023396,2.023563571,train,-1.418817553,-4.539013771,0.003001651,,,,,,
CCCCC#C,-3.564217001,-0.864464068,2.223817187,train,-1.099612789,-4.539013771,0.003298697,,,,,,
CCCCC#C,-3.564217001,-0.775422695,2.29967661,train,-0.986176859,-4.539013771,0.003411223,,,,,,
CCCCC#C,-3.564217001,-0.951631826,2.152802881,train,-1.210661792,-4.539013771,0.003193358,,,,,,
CC(C)CI,-3.000821047,-0.577452631,1.923505527,train,-0.733969175,-3.821264908,0.00285323,,,,,,
CC(C)CI,-3.000821047,-0.786015955,1.76317576,train,-0.999672341,-3.821264908,0.002615405,,,,,,
CC(C)CI,-3.000821047,-0.23863183,2.196000402,train,-0.302322049,-3.821264908,0.003257435,,,,,,
CC(C)CI,-3.000821047,-0.827626877,1.732054291,train,-1.052683357,-3.821264908,0.002569241,,,,,,
CC(C)CI,-3.000821047,-0.49083508,1.992994231,train,-0.623621118,-3.821264908,0.002956306,,,,,,
CCCI,-2.855725709,-0.708878883,1.888217136,train,-0.901402119,-3.636417976,0.002800885,,,,,,
CCCI,-2.855725709,-0.315678865,2.223817187,train,-0.400477567,-3.636417976,0.003298697,,,,,,
CCCI,-2.855725709,-0.395782283,2.160876503,train,-0.502526821,-3.636417976,0.003205334,,,,,,
CCCI,-2.855725709,-0.140991416,2.339580908,train,-0.177931208,-3.636417976,0.003470415,,,,,,
CCCI,-2.855725709,-0.587326328,1.990934028,train,-0.746547957,-3.636417976,0.00295325,,,,,,
